RANKING,titulo,ANIO,puntaje,genero,Cantidad de votos,direccion,duracion,GANANCIAS EN DOLARES
2737,Heavenly Creatures,1994,7.4,"Biografía, Crimen, Drama",54951,Peter Jackson,99,3050000
2738,Basic,2003,6.5,"Acción, Crimen, Drama",54905,John McTiernan,98,26540000
2739,Spirit: Stallion of the Cimarron,2002,7.1,"Animación, Aventura, Familiar",54865,Kelly Asbury,83,73280000
2740,James and the Giant Peach,1996,6.7,"Animación, Aventura, Familiar",54825,Henry Selick,79,28930000
2741,The Witches of Eastwick,1987,6.5,"Comedia, Fantasía, Horror",54808,George Miller,118,63770000
2742,Tag,2018,6.6,Comedia,54802,Jeff Tomsic,100,54550000
2743,Major League,1989,7.2,"Comedia, Deportes",54780,David S. Ward,107,49800000
2744,Gerald's Game,2017,6.6,"Drama, Horror, Suspenso",54746,Mike Flanagan,103,NA
2745,The Night Before,2015,6.4,"Aventura, Comedia, Fantasía",54679,Jonathan Levine,101,43040000
2746,Appaloosa,2008,6.7,"Crimen, Drama, Romántica",54673,Ed Harris,115,20210000
2747,Enough Said,2013,7,"Comedia, Drama, Romántica",54624,Nicole Holofcener,93,17540000
2748,The Stepford Wives,2004,5.3,"Comedia, Horror, Ciencia Ficción",54609,Frank Oz,93,59480000
2749,Like Crazy,2011,6.7,"Drama, Romántica",54565,Drake Doremus,86,3410000
2750,The Family Stone,2005,6.3,"Comedia, Drama, Romántica",54555,Thomas Bezucha,103,60060000
2751,The Remains of the Day,1993,7.9,"Drama, Romántica",54531,James Ivory,134,22950000
2752,Never Say Never Again,1983,6.2,"Acción, Aventura, Suspenso",54508,Irvin Kershner,134,55500000
2753,The Net,1995,5.9,"Acción, Crimen, Drama",54474,Irwin Winkler,114,50730000
2754,The Brave One,2007,6.8,"Crimen, Drama, Suspenso",54438,Neil Jordan,122,36790000
2755,Drillbit Taylor,2008,5.7,"Comedia, Drama",54426,Steven Brill,110,32850000
2756,Les Diaboliques,1955,8.1,"Crimen, Drama, Horror",54408,Henri-Georges Clouzot,117,NA
2757,Blast from the Past,1999,6.6,"Comedia, Drama, Romántica",54406,Hugh Wilson,112,26490000
2758,Trouble with the Curve,2012,6.8,"Drama, Deportes",54396,Robert Lorenz,111,35760000
2759,Sympathy for Mr. Vengeance,2002,7.7,"Acción, Drama, Suspenso",54334,Chan-wook Park,121,50000
2760,K-19: The Widowmaker,2002,6.7,"Drama, Histórico, Suspenso",54333,Kathryn Bigelow,138,35170000
2761,Sabotage,2014,5.7,"Acción, Crimen, Drama",54330,David Ayer,109,10510000
2762,Everything Is Illuminated,2005,7.5,"Comedia, Drama",54193,Liev Schreiber,106,1710000
2763,The Lookout,2007,7,"Crimen, Drama, Suspenso",54177,Scott Frank,99,4600000
2764,To Catch a Thief,1955,7.5,"Misterio, Romántica, Suspenso",54135,Alfred Hitchcock,106,8750000
2765,Red Lights,2012,6.2,"Drama, Fantasía, Horror",54132,Rodrigo Cortés,114,50000
2766,The Darkest Hour,2011,4.9,"Acción, Aventura, Horror",54126,Chris Gorak,89,21430000
2767,"Legally Blonde 2: Red, White & Blonde",2003,4.7,Comedia,54112,Charles Herman-Wurmfeld,95,90190000
2768,Mindhunters,2004,6.4,"Crimen, Horror, Misterio",54111,Renny Harlin,106,4480000
2769,Vertical Limit,2000,5.9,"Acción, Aventura, Drama",54106,Martin Campbell,124,69240000
